Full_Date,Open,High,Low,Close,Index
1/18/2018,33598.21,34100.02,33598.01,34049.35,Argentina  MerVal (Major)
1/17/2018,33521.63,33879.16,33417.51,33598.21,Argentina  MerVal (Major)
1/16/2018,33622.84,33697.54,33076.95,33521.63,Argentina  MerVal (Major)
1/15/2018,32719.7,33698.19,32697.54,33622.84,Argentina  MerVal (Major)
1/12/2018,32078.22,32765.65,32076.42,32719.7,Argentina  MerVal (Major)
1/11/2018,31632.36,32108.07,31609.98,32078.22,Argentina  MerVal (Major)
1/10/2018,32138.59,32144.13,31219.56,31632.36,Argentina  MerVal (Major)
1/9/2018,32351.2,32648.4,32104.49,32138.59,Argentina  MerVal (Major)
1/8/2018,32190.3,32419.43,31880.3,32351.2,Argentina  MerVal (Major)
1/5/2018,31951.99,32242.04,31697.82,32190.3,Argentina  MerVal (Major)
1/4/2018,31476.26,32000.55,31421.35,31951.99,Argentina  MerVal (Major)
1/3/2018,31084.42,31496.5,30819.93,31476.26,Argentina  MerVal (Major)
1/2/2018,30065.61,31143.73,30065.61,31084.42,Argentina  MerVal (Major)
12/29/2017,29974.54,30172.96,29838.77,30065.61,Argentina  MerVal (Major)
12/28/2017,29193.48,30277.53,29193.48,29974.54,Argentina  MerVal (Major)
12/27/2017,29185.62,29562.04,29072.89,29193.48,Argentina  MerVal (Major)
12/26/2017,28931.54,29465.28,28931.54,29185.62,Argentina  MerVal (Major)
12/22/2017,28480.71,29020.09,28480.71,28931.54,Argentina  MerVal (Major)
12/21/2017,28068.96,28559.63,28068.96,28480.71,Argentina  MerVal (Major)
12/20/2017,27706.71,28123.24,27706.71,28068.96,Argentina  MerVal (Major)
12/19/2017,27137.32,27934.42,27128.26,27706.71,Argentina  MerVal (Major)
12/18/2017,27021.94,27354.76,27021.94,27137.32,Argentina  MerVal (Major)
12/15/2017,27139.1,27450.48,26946.55,27021.94,Argentina  MerVal (Major)
12/14/2017,27034.57,27371.46,26854.41,27139.1,Argentina  MerVal (Major)
12/13/2017,27341.58,27569.16,27004.63,27034.57,Argentina  MerVal (Major)
