Full_Date,Open,High,Low,Close,Index
1/18/2018,3828.23,3854.28,3825.05,3848.35,Asia Dow
1/17/2018,3835.79,3845.24,3825.83,3836.59,Asia Dow
1/16/2018,3833.42,3839.86,3817.27,3822.86,Asia Dow
1/15/2018,3821.27,3844.25,3823.18,3828.15,Asia Dow
1/12/2018,3802.64,3818.16,3814.8,3814.8,Asia Dow
1/11/2018,3803.03,3809.95,3797.3,3808.41,Asia Dow
1/10/2018,3790.41,3806.98,3785.3,3795.76,Asia Dow
1/9/2018,3776.43,3802.42,3790.09,3800.78,Asia Dow
1/8/2018,3771.4,3799.26,3791.45,3791.45,Asia Dow
1/5/2018,3740.12,3771.71,3740.12,3769.26,Asia Dow
1/4/2018,3702.96,3763.15,3702.79,3760.11,Asia Dow
1/3/2018,3693.7,3724.04,3693.3,3721.49,Asia Dow
1/2/2018,3678.27,3708.24,3703.59,3703.59,Asia Dow
1/1/2018,3678.55,3687.05,3673.08,3686.76,Asia Dow
12/29/2017,3663.61,3676.49,3661.53,3676.49,Asia Dow
12/28/2017,3652.76,3683.88,3675.4,3675.4,Asia Dow
12/27/2017,3645.21,3660.26,3648.84,3658.25,Asia Dow
12/26/2017,3652.49,3655.36,3641.15,3652.49,Asia Dow
12/25/2017,3648.78,3650.48,3644,3645,Asia Dow
12/24/2017,3648.25,3649.86,3645.49,3648.25,Asia Dow
12/22/2017,3622.92,3651.11,3622.77,3648.65,Asia Dow
12/21/2017,3619.21,3637.09,3632.7,3632.7,Asia Dow
12/20/2017,3606.89,3623.84,3611.51,3617.12,Asia Dow
12/19/2017,3606.91,3622.64,3605.71,3616.47,Asia Dow
12/18/2017,3583.41,3617.04,3583.41,3611.7,Asia Dow
12/15/2017,3598.59,3599.39,3582.87,3582.87,Asia Dow
12/14/2017,3592.72,3581.26,3573.34,3581.26,Asia Dow
12/13/2017,3563.34,3603.97,3563.2,3600.52,Asia Dow
12/12/2017,3559.44,3571.9,3554.76,3569.95,Asia Dow
12/11/2017,3552.22,3567.37,3556.69,3564.2,Asia Dow
12/8/2017,3548.25,3557.29,3552.54,3552.54,Asia Dow
12/7/2017,3549.94,3553.49,3540.96,3543.66,Asia Dow
12/6/2017,3592.41,3562.81,3547.56,3561.42,Asia Dow
12/5/2017,3595.55,3581.54,3578.67,3581.54,Asia Dow
12/4/2017,3590.76,3604.33,3590.19,3597.03,Asia Dow
12/1/2017,3584.66,3602.92,3584.66,3588.73,Asia Dow
11/30/2017,3618.03,3598.82,3584.87,3590.4,Asia Dow
11/29/2017,3602.73,3621.87,3604.8,3606.37,Asia Dow
11/28/2017,3614.63,3625.03,3618.72,3618.72,Asia Dow
11/27/2017,3627.07,3621.52,3599.57,3616.24,Asia Dow
11/24/2017,3621.99,3630.77,3628.36,3628.36,Asia Dow
11/23/2017,3616.13,3625.66,3611.78,3620.4,Asia Dow
11/22/2017,3584.05,3627.02,3583.74,3623.26,Asia Dow
11/21/2017,3560.56,3614.78,3560.44,3607.62,Asia Dow
11/20/2017,3574.52,3572.57,3567.49,3567.49,Asia Dow
11/17/2017,3560.13,3571.96,3560.12,3571.96,Asia Dow
11/16/2017,3548.98,3590.03,3583.86,3583.86,Asia Dow
11/15/2017,3589.38,3553.44,3544.1,3550.57,Asia Dow
11/14/2017,3602.54,3602.54,3560.2,3564.66,Asia Dow
11/13/2017,3628.19,3598.25,3590.18,3598.25,Asia Dow
11/10/2017,3632.07,3635.89,3632.36,3632.36,Asia Dow
11/9/2017,3629.4,3622.04,3618.2,3622.04,Asia Dow
11/8/2017,3628.08,3651.48,3640.48,3640.48,Asia Dow
11/7/2017,3608.72,3626.68,3621.1,3626.68,Asia Dow
11/6/2017,3609.78,3636.32,3627.51,3627.51,Asia Dow
11/3/2017,3610.51,3617.94,3606.72,3610.36,Asia Dow
11/2/2017,3600.22,3615.57,3598.92,3613.64,Asia Dow
11/1/2017,3555.72,3616,3555.67,3606.19,Asia Dow
10/31/2017,3562.12,3577.36,3574.6,3574.6,Asia Dow
10/30/2017,3556.41,3559.05,3554.35,3559.05,Asia Dow
10/27/2017,3535.76,3551.99,3534.71,3551.99,Asia Dow
10/26/2017,3537.16,3558.68,3535.46,3540.62,Asia Dow
10/25/2017,3532.92,3539.78,3529.92,3536.66,Asia Dow
10/24/2017,3540.59,3537.07,3529.07,3533.12,Asia Dow
10/23/2017,3536.16,3552.7,3532.91,3545.32,Asia Dow
10/20/2017,3542.01,3542.3,3540.42,3540.42,Asia Dow
10/19/2017,3544.16,3546.21,3533.29,3539.99,Asia Dow
10/18/2017,3542.43,3563.06,3554.63,3554.63,Asia Dow
10/17/2017,3543.17,3555.24,3539.3,3543.32,Asia Dow
10/16/2017,3522.25,3552.61,3522.09,3550.04,Asia Dow
10/13/2017,3500.08,3523.71,3519.44,3519.44,Asia Dow
10/12/2017,3488.83,3500.87,3495.47,3500.92,Asia Dow
10/11/2017,3477.02,3491.29,3479.34,3481.86,Asia Dow
10/10/2017,3461.12,3492.65,3476.75,3477.76,Asia Dow
10/9/2017,3469.25,3466.92,3457.87,3466.42,Asia Dow
10/6/2017,3453.98,3467.24,3453.54,3466.4,Asia Dow
10/5/2017,3459.5,3461.88,3452.64,3459.63,Asia Dow
10/4/2017,3450.89,3465.42,3454.51,3454.91,Asia Dow
10/3/2017,3430.89,3452.84,3427.9,3451.97,Asia Dow
10/2/2017,3426.03,3433.61,3426.27,3431.67,Asia Dow
9/29/2017,3426.02,3430.11,3426.02,3426.02,Asia Dow
9/28/2017,3405.01,3410.54,3405.01,3406.46,Asia Dow
9/27/2017,3422.17,3424.06,3419.96,3420.9,Asia Dow
9/26/2017,3428.34,3436.15,3424.26,3428.65,Asia Dow
9/25/2017,3436.86,3448.83,3434.88,3435.52,Asia Dow
9/24/2017,3454.06,3457.54,3454.06,3454.06,Asia Dow
9/22/2017,3454.39,3454.39,3449.56,3454.39,Asia Dow
9/21/2017,3471.82,3472.63,3463.69,3464.99,Asia Dow
9/20/2017,3490.97,3492.29,3481.68,3483.1,Asia Dow
9/19/2017,3501.37,3504.69,3489.31,3495.49,Asia Dow
9/18/2017,3496.58,3516.54,3496.54,3514.24,Asia Dow
9/17/2017,3479.51,3479.51,3479.51,3479.51,Asia Dow
9/15/2017,3482.23,3482.23,3482.23,3482.23,Asia Dow
9/14/2017,3491.58,3491.67,3472.53,3487,Asia Dow
9/13/2017,3511.6,3511.6,3502.39,3503.36,Asia Dow
9/12/2017,3522.37,3529.41,3522.37,3527.78,Asia Dow
9/11/2017,3512.77,3520.43,3512.77,3515.58,Asia Dow
9/10/2017,3499.12,3499.12,3497.47,3499.12,Asia Dow
9/8/2017,3500.26,3506.37,3500.26,3500.26,Asia Dow
9/7/2017,3483.27,3487.58,3481.34,3484.77,Asia Dow
9/6/2017,3464.27,3472.61,3464.04,3469.59,Asia Dow
9/5/2017,3479.1,3479.1,3454.56,3470.31,Asia Dow
9/4/2017,3477.27,3481.54,3467.23,3478.42,Asia Dow
9/3/2017,3503.25,3503.25,3503.25,3503.25,Asia Dow
9/1/2017,3503.44,3510.8,3503.44,3503.44,Asia Dow
8/31/2017,3503.07,3505.22,3493.66,3500.72,Asia Dow
8/30/2017,3489.64,3500.71,3488.58,3495.51,Asia Dow
8/29/2017,3466.14,3469.69,3463.06,3469.34,Asia Dow
8/28/2017,3479.48,3479.48,3460.34,3472.02,Asia Dow
8/27/2017,3487.69,3489.92,3476.59,3487.69,Asia Dow
8/25/2017,3482.84,3488.9,3482.84,3482.84,Asia Dow
8/24/2017,3460.16,3464.16,3454.02,3462.16,Asia Dow
8/23/2017,3470.76,3474.61,3462.82,3464.31,Asia Dow
8/22/2017,3473.4,3476.76,3471.21,3472.78,Asia Dow
8/21/2017,3453.01,3475.23,3451.75,3455.03,Asia Dow
8/20/2017,3445.86,3445.86,3440.84,3445.86,Asia Dow
8/18/2017,3447.21,3447.21,3447.21,3447.21,Asia Dow
8/17/2017,3459.8,3459.8,3434.94,3448.67,Asia Dow
8/16/2017,3461.88,3476.98,3461.21,3469.71,Asia Dow
8/15/2017,3454.4,3458.35,3447.93,3448.89,Asia Dow
8/14/2017,3455.82,3471.77,3455.31,3464.12,Asia Dow
8/13/2017,3450.15,3464.11,3446,3450.15,Asia Dow
