Full_Date,Open,High,Low,Close,Index
1/18/2018,3627.73,3638.78,3610.29,3628.34,Austria  ATX
1/17/2018,3611.23,3631.27,3600.57,3628.08,Austria  ATX
1/16/2018,3603.39,3618.49,3590.55,3611.23,Austria  ATX
1/15/2018,3599.45,3612.87,3589.18,3604.39,Austria  ATX
1/12/2018,3601.29,3608.37,3593.82,3599.28,Austria  ATX
1/11/2018,3596.23,3600.94,3569.55,3600.94,Austria  ATX
1/10/2018,3558.98,3596.54,3558.19,3596.14,Austria  ATX
1/9/2018,3550.1,3569.28,3546.38,3558.86,Austria  ATX
1/8/2018,3550.62,3568.17,3541.08,3550.1,Austria  ATX
1/5/2018,3552.78,3561.35,3537.49,3550.88,Austria  ATX
1/4/2018,3488.05,3567.8,3488.05,3555.04,Austria  ATX
1/3/2018,3444.82,3491.68,3444.65,3487.39,Austria  ATX
1/2/2018,3420.31,3444.3,3415.99,3444.3,Austria  ATX
12/29/2017,3434.92,3441.59,3416.04,3420.14,Austria  ATX
12/28/2017,3428.98,3436.52,3423.16,3434.88,Austria  ATX
12/27/2017,3438.72,3439.79,3412.02,3428.69,Austria  ATX
12/22/2017,3439.88,3441.81,3412.27,3440.06,Austria  ATX
12/21/2017,3408.89,3441.01,3407.18,3440.02,Austria  ATX
12/20/2017,3420.94,3444.71,3408.81,3408.81,Austria  ATX
12/19/2017,3406.49,3424.32,3403.22,3420.63,Austria  ATX
12/18/2017,3279.52,3410.62,3279.16,3406.89,Austria  ATX
12/15/2017,3311,3311,3273.95,3279.24,Austria  ATX
12/14/2017,3304.83,3322.34,3303.85,3311.35,Austria  ATX
12/13/2017,3338.27,3340.52,3303.03,3304.94,Austria  ATX
12/12/2017,3351.12,3359.69,3324.88,3337.97,Austria  ATX
12/11/2017,3327.66,3355.33,3324.28,3350.56,Austria  ATX
12/7/2017,3315.12,3329.02,3309.87,3327.38,Austria  ATX
12/6/2017,3336.99,3336.99,3305.96,3314.61,Austria  ATX
12/5/2017,3361.66,3370.23,3336.64,3336.82,Austria  ATX
12/4/2017,3328.77,3375.47,3328.77,3361.61,Austria  ATX
12/1/2017,3344.69,3356.08,3325.85,3328.1,Austria  ATX
11/30/2017,3330.74,3352.29,3328.43,3344.94,Austria  ATX
11/29/2017,3321.56,3342.51,3317.2,3330.86,Austria  ATX
11/28/2017,3299.31,3326.72,3287.9,3321.14,Austria  ATX
11/27/2017,3328.47,3334.31,3297.31,3299.4,Austria  ATX
11/24/2017,3305.87,3341.3,3302.2,3328.48,Austria  ATX
11/23/2017,3316.31,3316.31,3293.1,3306.19,Austria  ATX
11/22/2017,3327.06,3349.74,3313.87,3316.12,Austria  ATX
11/21/2017,3313.64,3344.4,3309.55,3327.42,Austria  ATX
11/20/2017,3314.79,3318.72,3297.61,3313.61,Austria  ATX
11/17/2017,3330.75,3332.31,3312.71,3314.7,Austria  ATX
11/16/2017,3339.21,3345.72,3321.88,3331.99,Austria  ATX
11/15/2017,3360.46,3360.72,3293.23,3339.48,Austria  ATX
11/14/2017,3382.9,3399.04,3356.9,3360.82,Austria  ATX
11/13/2017,3393.36,3404.15,3363.56,3382.85,Austria  ATX
11/10/2017,3378.58,3393.75,3369.11,3393.23,Austria  ATX
11/9/2017,3412.53,3418.72,3353.87,3377.25,Austria  ATX
11/8/2017,3408.74,3416.74,3387.52,3412.3,Austria  ATX
11/7/2017,3389.49,3431.43,3389.34,3411.22,Austria  ATX
11/6/2017,3410.49,3418.03,3384.55,3390.3,Austria  ATX
11/3/2017,3445.19,3446.33,3391.44,3410.25,Austria  ATX
