Full_Date,Open,High,Low,Close,Index
1/18/2018,278.98,279.25,278.9,279.08,DJ Global ex. U.S. (World)
1/17/2018,278.47,278.74,278.18,278.31,DJ Global ex. U.S. (World)
1/16/2018,278.88,279.35,278.74,278.93,DJ Global ex. U.S. (World)
1/15/2018,278.3,278.36,278.02,278.36,DJ Global ex. U.S. (World)
1/14/2018,277.48,277.48,277.48,277.48,DJ Global ex. U.S. (World)
1/12/2018,276.38,277.12,276.38,276.38,DJ Global ex. U.S. (World)
1/11/2018,274.83,275.03,274.68,274.87,DJ Global ex. U.S. (World)
1/10/2018,273.92,274.06,273.33,273.93,DJ Global ex. U.S. (World)
1/9/2018,274.18,274.49,274.17,274.3,DJ Global ex. U.S. (World)
1/8/2018,274.18,274.53,273.96,274.19,DJ Global ex. U.S. (World)
1/5/2018,273.9,274.06,273.9,273.9,DJ Global ex. U.S. (World)
1/4/2018,272.57,272.86,272.51,272.77,DJ Global ex. U.S. (World)
1/3/2018,269.41,269.75,269.41,269.75,DJ Global ex. U.S. (World)
1/2/2018,268.54,268.7,268.42,268.59,DJ Global ex. U.S. (World)
1/1/2018,266.6,267.12,266.6,267.11,DJ Global ex. U.S. (World)
12/31/2017,266.59,266.59,266.57,266.58,DJ Global ex. U.S. (World)
12/29/2017,266.58,266.95,266.58,266.58,DJ Global ex. U.S. (World)
12/28/2017,265.79,266.08,265.74,266.06,DJ Global ex. U.S. (World)
12/27/2017,265.05,265.39,264.99,265.38,DJ Global ex. U.S. (World)
12/26/2017,263.86,264.01,263.82,263.95,DJ Global ex. U.S. (World)
12/25/2017,264.03,264.17,263.89,263.91,DJ Global ex. U.S. (World)
12/24/2017,263.84,263.84,263.68,263.84,DJ Global ex. U.S. (World)
12/22/2017,263.62,263.99,263.62,263.62,DJ Global ex. U.S. (World)
12/21/2017,263.5,263.67,263.28,263.65,DJ Global ex. U.S. (World)
12/20/2017,262.47,262.48,262.16,262.29,DJ Global ex. U.S. (World)
12/19/2017,262.77,263.16,262.73,263.07,DJ Global ex. U.S. (World)
12/18/2017,262.96,263.01,262.72,262.83,DJ Global ex. U.S. (World)
12/17/2017,260.16,260.16,260.1,260.16,DJ Global ex. U.S. (World)
12/15/2017,259.84,259.84,259.58,259.84,DJ Global ex. U.S. (World)
12/14/2017,260.61,260.71,260.06,260.16,DJ Global ex. U.S. (World)
12/13/2017,261.64,262.02,261.59,261.98,DJ Global ex. U.S. (World)
12/12/2017,260.27,260.39,260.15,260.23,DJ Global ex. U.S. (World)
12/11/2017,260.17,260.3,260.08,260.11,DJ Global ex. U.S. (World)
12/10/2017,259.27,259.27,259.09,259.27,DJ Global ex. U.S. (World)
12/8/2017,258.97,259.53,258.97,258.97,DJ Global ex. U.S. (World)
12/7/2017,257.55,257.9,257.55,257.79,DJ Global ex. U.S. (World)
12/6/2017,257.78,258.17,257.72,258.15,DJ Global ex. U.S. (World)
12/5/2017,259.52,259.53,259.27,259.39,DJ Global ex. U.S. (World)
12/4/2017,260.42,260.72,260.21,260.54,DJ Global ex. U.S. (World)
12/3/2017,259.61,259.61,259.61,259.61,DJ Global ex. U.S. (World)
12/1/2017,259.51,259.51,259.51,259.51,DJ Global ex. U.S. (World)
11/30/2017,260.76,260.98,260.58,260.58,DJ Global ex. U.S. (World)
11/29/2017,261.43,261.44,260.97,260.99,DJ Global ex. U.S. (World)
11/28/2017,262.19,262.36,262.07,262.09,DJ Global ex. U.S. (World)
11/27/2017,261.65,261.74,261.17,261.47,DJ Global ex. U.S. (World)
11/26/2017,263.01,263.01,263.01,263.01,DJ Global ex. U.S. (World)
11/24/2017,263.11,263.2,263.11,263.11,DJ Global ex. U.S. (World)
11/23/2017,262.1,262.24,261.89,262.2,DJ Global ex. U.S. (World)
11/22/2017,262.2,262.42,262.19,262.33,DJ Global ex. U.S. (World)
11/21/2017,261,261.28,260.95,261.2,DJ Global ex. U.S. (World)
11/20/2017,258.89,259.19,258.84,259.19,DJ Global ex. U.S. (World)
11/19/2017,258.26,258.26,258.26,258.26,DJ Global ex. U.S. (World)
11/17/2017,258.5,258.5,258.17,258.5,DJ Global ex. U.S. (World)
11/16/2017,258.26,259.33,258.24,259.19,DJ Global ex. U.S. (World)
11/15/2017,255.89,256.34,255.87,256.21,DJ Global ex. U.S. (World)
11/14/2017,257.46,257.48,256.96,257.05,DJ Global ex. U.S. (World)
11/13/2017,257.55,257.79,257.48,257.79,DJ Global ex. U.S. (World)
11/12/2017,258.78,258.79,258.78,258.78,DJ Global ex. U.S. (World)
11/10/2017,259.42,260.01,259.02,259.42,DJ Global ex. U.S. (World)
11/9/2017,259.88,260,259.69,259.8,DJ Global ex. U.S. (World)
11/8/2017,261.08,261.9,261.05,261.46,DJ Global ex. U.S. (World)
11/7/2017,260.72,260.78,260.54,260.76,DJ Global ex. U.S. (World)
11/6/2017,260.94,261.42,260.9,261.27,DJ Global ex. U.S. (World)
11/5/2017,260.15,260.15,259.37,260.15,DJ Global ex. U.S. (World)
11/3/2017,260.04,260.97,259.54,260.04,DJ Global ex. U.S. (World)
11/2/2017,260.37,260.96,260.01,260.28,DJ Global ex. U.S. (World)
11/1/2017,258.91,260.38,258.9,260.3,DJ Global ex. U.S. (World)
10/31/2017,258.6,259.35,259.29,259.29,DJ Global ex. U.S. (World)
10/30/2017,257.62,258.78,258.35,258.43,DJ Global ex. U.S. (World)
