Full_Date,Open,High,Low,Close,Index
1/18/2018,4236.17,4246.46,4234.16,4245.69,DJ Islamic Market Titans
1/17/2018,4208.02,4242.41,4202.5,4241.6,DJ Islamic Market Titans
1/16/2018,4208.69,4242.58,4206.58,4207.46,DJ Islamic Market Titans
1/15/2018,4204.18,4211.04,4203.43,4210.98,DJ Islamic Market Titans
1/12/2018,4174.03,4204.99,4199.91,4199.91,DJ Islamic Market Titans
1/11/2018,4161.23,4174.85,4172.52,4173.57,DJ Islamic Market Titans
1/10/2018,4177.02,4177.02,4157.67,4158.36,DJ Islamic Market Titans
1/9/2018,4175.01,4183.73,4173.91,4173.92,DJ Islamic Market Titans
1/8/2018,4171.59,4176.69,4173.89,4175.21,DJ Islamic Market Titans
1/5/2018,4170.99,4171.66,4170.99,4170.99,DJ Islamic Market Titans
1/4/2018,4136.49,4137.24,4135.45,4136.78,DJ Islamic Market Titans
1/3/2018,4081.53,4114.88,4081.45,4114.69,DJ Islamic Market Titans
1/2/2018,4042.89,4084.02,4083.49,4083.49,DJ Islamic Market Titans
1/1/2018,4042.58,4046.06,4042.38,4045.91,DJ Islamic Market Titans
12/29/2017,4052.58,4059.79,4042.5,4042.5,DJ Islamic Market Titans
12/28/2017,4048.43,4055.05,4054.36,4054.36,DJ Islamic Market Titans
12/27/2017,4041.24,4051.15,4048.28,4051.05,DJ Islamic Market Titans
12/26/2017,4040.52,4042.02,4039.75,4040.52,DJ Islamic Market Titans
12/25/2017,4052.42,4052.86,4050.58,4050.9,DJ Islamic Market Titans
12/24/2017,4051.24,4051.24,4050.64,4051.24,DJ Islamic Market Titans
12/22/2017,4052.39,4055.98,4045.89,4049.8,DJ Islamic Market Titans
12/21/2017,4045.99,4053.4,4051.08,4053.21,DJ Islamic Market Titans
12/20/2017,4056.34,4061,4043,4044.27,DJ Islamic Market Titans
12/19/2017,4066.92,4071.49,4054.8,4055.68,DJ Islamic Market Titans
12/18/2017,4040.78,4069.65,4040.33,4068.83,DJ Islamic Market Titans
12/15/2017,4017.26,4043.17,4011.47,4040.89,DJ Islamic Market Titans
12/14/2017,4034.76,4018.07,4013.78,4014.38,DJ Islamic Market Titans
12/13/2017,4020.78,4038.07,4017.28,4037.74,DJ Islamic Market Titans
12/12/2017,4022.07,4029.35,4018.32,4018.55,DJ Islamic Market Titans
12/11/2017,4000.19,4023.28,4021.16,4021.94,DJ Islamic Market Titans
12/8/2017,3978.17,4003.84,4000.19,4000.19,DJ Islamic Market Titans
12/7/2017,3972.01,3981.03,3977.62,3980.32,DJ Islamic Market Titans
12/6/2017,3973.2,3975.88,3942.85,3975.8,DJ Islamic Market Titans
12/5/2017,3984.9,3974.22,3972.42,3973.87,DJ Islamic Market Titans
12/4/2017,4006.83,4025.17,3979.91,3981.29,DJ Islamic Market Titans
12/1/2017,4019.49,4005.51,3978.18,4005.51,DJ Islamic Market Titans
11/30/2017,4008.13,4024.63,3995.62,4021.44,DJ Islamic Market Titans
11/29/2017,4046.95,4047.81,3999.48,3999.98,DJ Islamic Market Titans
11/28/2017,4031.34,4047.62,4045.47,4045.52,DJ Islamic Market Titans
11/27/2017,4040.67,4032.29,4028.63,4029.96,DJ Islamic Market Titans
11/24/2017,4025.91,4044.06,4041.34,4041.34,DJ Islamic Market Titans
11/23/2017,4024.79,4027.04,4024.85,4027.02,DJ Islamic Market Titans
11/22/2017,4020.98,4025.29,4023.54,4023.61,DJ Islamic Market Titans
11/21/2017,3982,4025.5,3981.96,4024.93,DJ Islamic Market Titans
11/20/2017,3976.68,3988.38,3950.49,3988.38,DJ Islamic Market Titans
11/17/2017,3977.97,3977.97,3976.91,3977.97,DJ Islamic Market Titans
11/16/2017,3991.81,3995.48,3991.41,3994.59,DJ Islamic Market Titans
11/15/2017,3980.5,3956.31,3951.97,3954.95,DJ Islamic Market Titans
11/14/2017,3983.81,3986.56,3977.73,3978.21,DJ Islamic Market Titans
11/13/2017,3984.33,3986.21,3982.92,3985.98,DJ Islamic Market Titans
11/10/2017,3996.61,3996.89,3976.15,3986.05,DJ Islamic Market Titans
11/9/2017,4013.27,3994.5,3993.44,3994.5,DJ Islamic Market Titans
11/8/2017,4001.14,4017.98,3996.2,4015.78,DJ Islamic Market Titans
11/7/2017,3999.01,4002.41,4000.65,4001.59,DJ Islamic Market Titans
11/6/2017,3988.9,4002.97,4002.11,4002.11,DJ Islamic Market Titans
11/3/2017,3969.44,3990.52,3988.81,3988.81,DJ Islamic Market Titans
11/2/2017,3973.85,3969.91,3968.3,3968.49,DJ Islamic Market Titans
11/1/2017,3957,3977,3973.6,3974.3,DJ Islamic Market Titans
10/31/2017,3945.32,3960.45,3958.56,3958.56,DJ Islamic Market Titans
10/30/2017,3939.26,3950.33,3944.2,3945.46,DJ Islamic Market Titans
10/27/2017,3900.1,3942.63,3937.98,3937.98,DJ Islamic Market Titans
10/26/2017,3911.96,3901.45,3899.36,3899.62,DJ Islamic Market Titans
10/25/2017,3922.03,3913.04,3911.34,3911.98,DJ Islamic Market Titans
10/24/2017,3929.79,3923.77,3916.26,3922.65,DJ Islamic Market Titans
10/23/2017,3934.1,3930.76,3929.27,3930.16,DJ Islamic Market Titans
10/20/2017,3940.85,3942.74,3931.99,3936.41,DJ Islamic Market Titans
10/19/2017,3949.89,3941.25,3939.96,3941.03,DJ Islamic Market Titans
10/18/2017,3945.49,3952.38,3943.77,3951.37,DJ Islamic Market Titans
10/17/2017,3943.64,3947.44,3936.83,3946.29,DJ Islamic Market Titans
10/16/2017,3935.97,3945.91,3935.97,3945.56,DJ Islamic Market Titans
10/13/2017,3930.05,3947.1,3937.24,3937.24,DJ Islamic Market Titans
10/12/2017,3928.18,3935.02,3927.87,3929.24,DJ Islamic Market Titans
10/11/2017,3908.84,3930.5,3908.73,3929.07,DJ Islamic Market Titans
10/10/2017,3892.1,3911.37,3892.04,3910.83,DJ Islamic Market Titans
10/9/2017,3889,3896.73,3896.7,3896.7,DJ Islamic Market Titans
10/6/2017,3887.49,3887.95,3876.99,3887.95,DJ Islamic Market Titans
10/5/2017,3871.59,3889.09,3887.11,3887.64,DJ Islamic Market Titans
10/4/2017,3871.04,3875.54,3870.9,3871.16,DJ Islamic Market Titans
10/3/2017,3860.52,3873.39,3859.92,3873.12,DJ Islamic Market Titans
10/2/2017,3849.15,3861.13,3858.18,3860.18,DJ Islamic Market Titans
9/29/2017,3850.03,3850.03,3850.03,3850.03,DJ Islamic Market Titans
9/28/2017,3830.86,3830.86,3829.78,3829.97,DJ Islamic Market Titans
9/27/2017,3826.88,3828.76,3826.88,3828.04,DJ Islamic Market Titans
9/26/2017,3819.97,3820.6,3819.22,3819.75,DJ Islamic Market Titans
9/25/2017,3827.91,3828,3826.58,3826.58,DJ Islamic Market Titans
9/24/2017,3845.84,3845.84,3845.84,3845.84,DJ Islamic Market Titans
9/22/2017,3847.3,3851.88,3839.49,3847.3,DJ Islamic Market Titans
9/21/2017,3848.74,3849.42,3847.96,3848.35,DJ Islamic Market Titans
9/20/2017,3861.33,3861.88,3860.7,3861.15,DJ Islamic Market Titans
9/19/2017,3873.86,3874.73,3873.71,3873.79,DJ Islamic Market Titans
9/18/2017,3865.44,3867.05,3865.34,3866.27,DJ Islamic Market Titans
9/17/2017,3857.58,3857.58,3857.53,3857.58,DJ Islamic Market Titans
9/15/2017,3859.44,3862.77,3848.32,3859.44,DJ Islamic Market Titans
9/14/2017,3850.73,3851.36,3850.3,3850.3,DJ Islamic Market Titans
9/13/2017,3852.91,3853.16,3852.45,3852.49,DJ Islamic Market Titans
9/12/2017,3856.33,3856.46,3855.51,3855.6,DJ Islamic Market Titans
9/11/2017,3845.29,3845.72,3844.41,3844.95,DJ Islamic Market Titans
9/10/2017,3809.67,3809.67,3809.62,3809.67,DJ Islamic Market Titans
9/8/2017,3810.81,3829.25,3809.46,3810.81,DJ Islamic Market Titans
9/7/2017,3823.13,3824.27,3822.74,3824.02,DJ Islamic Market Titans
9/6/2017,3794.61,3795.79,3794.61,3795,DJ Islamic Market Titans
9/5/2017,3779.49,3779.64,3778.88,3779.19,DJ Islamic Market Titans
9/4/2017,3789.17,3789.36,3788.57,3788.83,DJ Islamic Market Titans
9/3/2017,3794.9,3794.9,3794.9,3794.9,DJ Islamic Market Titans
9/1/2017,3794.35,3804.7,3790,3794.35,DJ Islamic Market Titans
8/31/2017,3794.83,3794.97,3794.34,3794.44,DJ Islamic Market Titans
8/30/2017,3763.68,3764.25,3763.36,3764.2,DJ Islamic Market Titans
8/29/2017,3752.12,3752.52,3751.71,3752.46,DJ Islamic Market Titans
8/28/2017,3750.27,3750.95,3749.97,3750.39,DJ Islamic Market Titans
8/27/2017,3749.33,3749.33,3749.33,3749.33,DJ Islamic Market Titans
8/25/2017,3745.71,3763.61,3741.15,3745.71,DJ Islamic Market Titans
8/24/2017,3743.47,3743.47,3742.78,3743.05,DJ Islamic Market Titans
8/23/2017,3750.6,3750.82,3750.01,3750.02,DJ Islamic Market Titans
8/22/2017,3756.03,3756.37,3755.55,3755.81,DJ Islamic Market Titans
8/21/2017,3722.1,3722.7,3721.96,3722.31,DJ Islamic Market Titans
8/20/2017,3719.36,3719.36,3719.36,3719.36,DJ Islamic Market Titans
8/18/2017,3720.66,3734.79,3713.95,3720.66,DJ Islamic Market Titans
8/17/2017,3730.3,3730.95,3730.2,3730.93,DJ Islamic Market Titans
8/16/2017,3774.34,3774.7,3774.11,3774.16,DJ Islamic Market Titans
8/15/2017,3763.51,3763.51,3761.82,3762.74,DJ Islamic Market Titans
8/14/2017,3764.84,3767.84,3764.55,3765.7,DJ Islamic Market Titans
8/13/2017,3733.94,3733.94,3732.8,3733.94,DJ Islamic Market Titans
8/11/2017,3736.1,3744.54,3724.33,3736.1,DJ Islamic Market Titans
8/10/2017,3732.61,3732.83,3732.35,3732.81,DJ Islamic Market Titans
8/9/2017,3779.85,3779.85,3779.04,3779.08,DJ Islamic Market Titans
8/8/2017,3781.55,3781.76,3779.59,3779.62,DJ Islamic Market Titans
8/7/2017,3784.16,3784.45,3783.99,3784.25,DJ Islamic Market Titans
8/6/2017,3771.42,3771.42,3771.42,3771.42,DJ Islamic Market Titans
8/4/2017,3769.66,3776.98,3761.94,3769.66,DJ Islamic Market Titans
8/3/2017,3765.99,3766.1,3765.6,3765.67,DJ Islamic Market Titans
8/2/2017,3768.6,3768.6,3767.49,3767.7,DJ Islamic Market Titans
8/1/2017,3756.94,3757.76,3756.69,3757.16,DJ Islamic Market Titans
7/31/2017,3748.11,3749.33,3747.96,3748.76,DJ Islamic Market Titans
7/30/2017,3745.41,3745.41,3744.53,3745.41,DJ Islamic Market Titans
7/28/2017,3744.71,3747.22,3729.73,3744.71,DJ Islamic Market Titans
7/27/2017,3742.27,3742.59,3740.21,3740.21,DJ Islamic Market Titans
7/26/2017,3757.34,3763.54,3757.34,3758.71,DJ Islamic Market Titans
7/25/2017,3748.48,3749.43,3748.24,3748.57,DJ Islamic Market Titans
7/24/2017,3746.28,3746.48,3745.88,3746.07,DJ Islamic Market Titans
7/23/2017,3753.23,3753.23,3753.23,3753.23,DJ Islamic Market Titans
7/21/2017,3752.52,3762.96,3743.62,3752.52,DJ Islamic Market Titans
7/20/2017,3757.94,3758.79,3757.9,3757.95,DJ Islamic Market Titans
7/19/2017,3754.99,3755.15,3754.72,3754.97,DJ Islamic Market Titans
7/18/2017,3735.77,3736.66,3735.54,3736.22,DJ Islamic Market Titans
7/17/2017,3726.35,3727.74,3726.35,3727.3,DJ Islamic Market Titans
7/16/2017,3729.29,3729.29,3729.29,3729.29,DJ Islamic Market Titans
7/14/2017,3727.39,3732.94,3727.39,3727.39,DJ Islamic Market Titans
7/13/2017,3702.27,3702.36,3700.84,3701.55,DJ Islamic Market Titans
7/12/2017,3694.74,3695.56,3694.71,3695.31,DJ Islamic Market Titans
7/11/2017,3658.3,3658.92,3658.3,3658.76,DJ Islamic Market Titans
7/10/2017,3653.1,3653.29,3652.66,3653,DJ Islamic Market Titans
7/9/2017,3643.62,3643.62,3643.62,3643.62,DJ Islamic Market Titans
7/7/2017,3641.59,3644.28,3621.48,3641.59,DJ Islamic Market Titans
7/6/2017,3626.58,3626.7,3625.84,3626.35,DJ Islamic Market Titans
7/5/2017,3654.71,3654.92,3653.79,3654.27,DJ Islamic Market Titans
7/4/2017,3645.41,3646,3645.19,3645.31,DJ Islamic Market Titans
7/3/2017,3653.27,3653.78,3653.27,3653.48,DJ Islamic Market Titans
7/2/2017,3655.45,3655.45,3655.45,3655.45,DJ Islamic Market Titans
6/30/2017,3654.79,3669.9,3653.26,3654.79,DJ Islamic Market Titans
6/29/2017,3660.2,3660.2,3658.03,3658.23,DJ Islamic Market Titans
6/28/2017,3705.02,3705.63,3704.82,3705.43,DJ Islamic Market Titans
6/27/2017,3685.04,3685.32,3684.83,3685.03,DJ Islamic Market Titans
6/26/2017,3715.52,3715.54,3714.56,3714.64,DJ Islamic Market Titans
6/25/2017,3719.07,3719.07,3719.07,3719.07,DJ Islamic Market Titans
6/23/2017,3718.87,3721.31,3702.37,3718.87,DJ Islamic Market Titans
6/22/2017,3708.07,3708.31,3707.75,3708.19,DJ Islamic Market Titans
6/21/2017,3702.06,3702.7,3702.02,3702.42,DJ Islamic Market Titans
6/20/2017,3692.96,3693.2,3692.67,3693.1,DJ Islamic Market Titans
6/19/2017,3706.72,3707.55,3706.56,3706.86,DJ Islamic Market Titans
6/18/2017,3670.36,3670.36,3670.14,3670.36,DJ Islamic Market Titans
