Full_Date,Open,High,Low,Close,Index
1/18/2018,28932.02,28962.93,28831.31,28878.55,DJ Total Stock Market
1/17/2018,28767.16,28984.92,28699.46,28938.07,DJ Total Stock Market
1/16/2018,28944.59,29013.45,28597.82,28673.51,DJ Total Stock Market
1/12/2018,28663.51,28820.45,28655.15,28806.69,DJ Total Stock Market
1/11/2018,28452.48,28632.83,28447.68,28632.82,DJ Total Stock Market
1/10/2018,28360.71,28426.09,28270.29,28396,DJ Total Stock Market
1/9/2018,28440.75,28512.95,28399.58,28429.3,DJ Total Stock Market
1/8/2018,28342.87,28411.18,28281.44,28402.35,DJ Total Stock Market
1/5/2018,28247,28351.56,28207.75,28349.31,DJ Total Stock Market
1/4/2018,28141.9,28216.87,28137.79,28167.8,DJ Total Stock Market
1/3/2018,27927.24,28078.55,27927.24,28065.91,DJ Total Stock Market
1/2/2018,27784.34,27903.51,27757.86,27902.33,DJ Total Stock Market
12/29/2017,27856.29,27871.04,27673.16,27673.19,DJ Total Stock Market
12/28/2017,27804.96,27825.74,27762.43,27824.45,DJ Total Stock Market
12/27/2017,27764.22,27805.6,27733.93,27767.04,DJ Total Stock Market
12/26/2017,27720.37,27770.46,27720.37,27747.37,DJ Total Stock Market
12/22/2017,27777.09,27786.08,27717.7,27768.12,DJ Total Stock Market
12/21/2017,27760.68,27856.1,27750.25,27780.67,DJ Total Stock Market
12/20/2017,27813.45,27828.08,27676.19,27715.94,DJ Total Stock Market
12/19/2017,27855.41,27870,27719.97,27727.71,DJ Total Stock Market
12/18/2017,27782.79,27872.35,27782.79,27830.03,DJ Total Stock Market
12/15/2017,27482.48,27705.07,27476.45,27656.76,DJ Total Stock Market
12/14/2017,27563.96,27585.63,27396.18,27399.03,DJ Total Stock Market
12/13/2017,27564.29,27630.82,27530.89,27530.89,DJ Total Stock Market
12/12/2017,27529.77,27598.5,27509.39,27533.39,DJ Total Stock Market
12/11/2017,27446.98,27510.65,27443.08,27508.61,DJ Total Stock Market
12/8/2017,27397.54,27447.78,27364.2,27435.24,DJ Total Stock Market
12/7/2017,27183.25,27334.18,27169.22,27295.05,DJ Total Stock Market
12/6/2017,27213.96,27997.67,27176.72,27191.62,DJ Total Stock Market
12/5/2017,27340.06,27421.41,27199.8,27215.18,DJ Total Stock Market
12/4/2017,27547.52,27629.33,27332.64,27336.03,DJ Total Stock Market
12/1/2017,27417.3,27456.77,26970.6,27375.9,DJ Total Stock Market
11/30/2017,27321.28,27539.11,27313.8,27433.82,DJ Total Stock Market
11/29/2017,27252.95,27329.61,27172.37,27232.91,DJ Total Stock Market
11/28/2017,27012.04,27241.54,26999.79,27236.39,DJ Total Stock Market
11/27/2017,26990.77,27027.25,26940.93,26963.15,DJ Total Stock Market
11/24/2017,26981.14,27003.22,26971.81,26990.54,DJ Total Stock Market
11/22/2017,26973.42,26979.6,26922.12,26936,DJ Total Stock Market
11/21/2017,26856.99,26967.93,26856.99,26954.41,DJ Total Stock Market
11/20/2017,26730.77,26789.09,26712.18,26769.55,DJ Total Stock Market
11/17/2017,26721.33,26759.66,26697.24,26718.22,DJ Total Stock Market
11/16/2017,26614.54,26803.04,26614.54,26756.16,DJ Total Stock Market
11/15/2017,26538.92,26604.41,26430.06,26521.2,DJ Total Stock Market
11/14/2017,26643.69,26673.25,26553.28,26664.02,DJ Total Stock Market
11/13/2017,26635.64,26755.56,26616.51,26727.72,DJ Total Stock Market
11/10/2017,26676.94,26724.11,26639.56,26704.08,DJ Total Stock Market
11/9/2017,26698.73,26755.48,26532.64,26719.1,DJ Total Stock Market
11/8/2017,26762.72,26838.61,26725.07,26825.65,DJ Total Stock Market
11/7/2017,26839.78,26882.68,26725.37,26786.83,DJ Total Stock Market
11/6/2017,26781.71,26853.56,26771.67,26830.6,DJ Total Stock Market
11/3/2017,26729.46,26793.23,26674.05,26789,DJ Total Stock Market
11/2/2017,26694.9,26728.99,26581.63,26714.24,DJ Total Stock Market
11/1/2017,26791.63,26825.82,26651.9,26706.22,DJ Total Stock Market
10/31/2017,26673.04,26721.43,26643.61,26687.97,DJ Total Stock Market
10/30/2017,26696.49,26725.77,26595.14,26636.29,DJ Total Stock Market
10/27/2017,26627.53,26754.76,26572.93,26743.96,DJ Total Stock Market
